Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,BE 10 Year
29/11/1996,0.215633383,0.215352425,0.846626881,-0.11616065,-0.080521675,-0.032845743,-0.070414268,0.03888
31/12/1996,0.166177822,0.169871945,0.581979417,-0.133876473,-0.088607216,-0.069851272,-0.083614172,0.03987
31/01/1997,0.167820938,0.169339378,0.542541945,-0.049610985,-0.182571667,-0.093898885,-0.184246466,0.03896
28/02/1997,0.18842334,0.156954673,0.215430126,-0.002328634,-0.116162473,-0.028824006,-0.1235512,0.03838
31/03/1997,0.143008542,0.126965925,0.105873069,-0.028406312,-0.139882159,-0.004341377,-0.143409414,0.03986
30/04/1997,0.164757239,0.082899686,0.072199428,-0.027845626,-0.160669213,-0.067356272,-0.164101615,0.03823
30/05/1997,0.208696944,0.103927319,0.124403688,0.012879415,-0.14714603,-0.089074097,-0.151578098,0.03433
30/06/1997,0.25915277,0.041921188,-0.044975265,0.101306427,-0.137055673,-0.148329365,-0.153904717,0.03337
31/07/1997,0.405944202,0.091642443,0.063072034,0.136427838,-0.175958014,-0.031629086,-0.192955443,0.03264
29/08/1997,0.293908818,0.040147142,0.085329922,0.081936654,-0.173897707,-0.053599147,-0.192203833,0.03342
30/09/1997,0.295915403,0.046391114,0.059785875,0.149193599,-0.11089081,-0.04895944,-0.145169687,0.03003
31/10/1997,0.210315043,0.065440909,0.066184924,0.066372576,-0.17362868,0.089943826,-0.205172032,0.03276
28/11/1997,0.181908895,-0.030878153,-0.187435547,-0.049366602,-0.187305817,0.042680812,-0.230771963,0.03226
31/12/1997,0.224504425,-0.082434069,-0.270672901,-0.074005879,-0.183641551,-0.005394759,-0.241451942,0.0314
30/01/1998,0.213485015,-0.084762228,-0.272466635,-0.135172717,-0.096448373,-0.000297457,-0.149736195,0.0286
27/02/1998,0.270486854,-0.133255559,-0.212504345,-0.20576382,-0.153096776,-0.10809193,-0.206121904,0.03033
31/03/1998,0.362660676,-0.148583665,-0.22379314,-0.201859838,-0.111346,-0.170016371,-0.17218564,0.02891
30/04/1998,0.306120134,-0.16617694,-0.266035903,-0.18715235,-0.068382808,-0.257090031,-0.128105536,0.02896
29/05/1998,0.24608081,-0.21862338,-0.329158187,-0.250509133,-0.140912327,-0.246152222,-0.178891117,0.02794
30/06/1998,0.218172388,-0.188947311,-0.334692744,-0.27474168,-0.105704243,-0.15811257,-0.140362756,0.02861
31/07/1998,0.145939765,-0.261738973,-0.41880832,-0.284756269,-0.110206224,-0.271788016,-0.148100954,0.02917
31/08/1998,0.057631053,-0.307907428,-0.484951636,-0.272045907,-0.153565876,-0.335999862,-0.17912294,0.02795
30/09/1998,0.004555566,-0.262073045,-0.42752309,-0.277614487,-0.127485532,-0.280351708,-0.144778157,0.02278
30/10/1998,0.146261499,-0.286271559,-0.508512102,-0.260678936,-0.079298563,-0.279536675,-0.093183518,0.02495
30/11/1998,0.191735105,-0.31019495,-0.549481576,-0.223129174,-0.052271466,-0.274358012,-0.050703597,0.02352
31/12/1998,0.206624547,-0.305231302,-0.493709722,-0.231851925,-0.054556646,-0.280011112,-0.041765413,0.02368
29/01/1999,0.211419542,-0.310356504,-0.471229713,-0.23597123,-0.100798912,-0.305041963,-0.093010677,0.02167
26/02/1999,0.122929554,-0.304133427,-0.453245567,-0.202102093,-0.084002671,-0.34322435,-0.079091914,0.02565
31/03/1999,0.114563538,-0.239339405,-0.262569687,-0.202832027,-0.125827712,-0.279000885,-0.109259212,0.02668
30/04/1999,0.160662835,-0.197606306,-0.176295164,-0.124664696,-0.11102863,-0.272530222,-0.104200992,0.02699
31/05/1999,0.131187354,-0.207457477,-0.190542063,-0.159570094,-0.104847691,-0.257747079,-0.115866328,0.02938
30/06/1999,0.158019339,-0.144592824,-0.017933838,-0.021321178,-0.136484062,-0.280605509,-0.151796182,0.03103
30/07/1999,0.133723093,-0.073331806,0.163832407,-0.034063,-0.126524055,-0.248734984,-0.141129417,0.03293
31/08/1999,0.310731346,0.046812086,0.364474871,0.043014706,-0.086959808,-0.165894662,-0.110590212,0.0289
30/09/1999,0.288043854,0.021986454,0.239410397,0.088115373,-0.02090343,-0.197817259,-0.03431645,0.03362
29/10/1999,0.265209387,0.011050002,0.28267599,0.100731398,-0.000707965,-0.246917368,-0.014263694,0.03239
30/11/1999,0.224221233,0.114340352,0.761069525,0.121050542,-0.018728691,-0.265295689,-0.040795813,0.03194
31/12/1999,0.276786834,0.185989689,0.834783265,0.246862341,-0.009233727,-0.226269819,-0.032581813,0.03455
31/01/2000,0.178993683,0.254259356,1.009423887,0.282450456,-0.013321877,-0.184065206,-0.040837825,0.03447
29/02/2000,0.211535656,0.320874825,1.390708119,0.204757016,-0.00544056,-0.130918956,-0.014369369,0.03304
31/03/2000,0.229342789,0.21600393,0.708809679,0.193533657,-0.007142731,-0.150068042,-0.038690109,0.03083
28/04/2000,0.150679674,0.153390645,0.574520569,0.05268334,-0.048952747,-0.133107844,-0.080817356,0.03128
31/05/2000,0.158170071,0.309122895,1.016154004,0.143392937,0.009323429,-0.098591687,-0.030627926,0.0298
30/06/2000,0.1262311,0.26833609,1.001985463,0.064857645,0.086142497,-0.14691141,0.061054619,0.03118
31/07/2000,0.131657495,0.182454116,0.658095065,0.065332389,0.0711988,-0.12828089,0.037745964,0.03
31/08/2000,0.182362616,0.226254203,0.876845951,0.026544186,0.077729115,-0.136787876,0.039743213,0.0306
29/09/2000,0.143979055,0.15729722,0.693679141,0.018052429,-0.081198139,-0.134969527,-0.123221697,0.02914
31/10/2000,0.081828174,0.174128115,0.854582246,-0.044883551,-0.106750071,-0.122612272,-0.158717184,0.02806
30/11/2000,-0.022420957,0.238674458,0.959121611,-0.059955553,-0.072763693,-0.078944902,-0.119350177,0.02704
29/12/2000,-0.098699233,0.242109302,0.767144714,-0.097921211,-0.069499298,-0.067997451,-0.108031465,0.0266
31/01/2001,-0.030582028,0.150385943,0.48884137,-0.078995742,-0.077448672,-0.136626092,-0.116994015,0.02634
28/02/2001,-0.11812315,0.126607127,0.300255261,-0.057833404,-0.102205857,-0.133646809,-0.141644997,0.02584
30/03/2001,-0.207387622,0.069505033,0.312782194,-0.104258676,-0.108153332,-0.241674828,-0.129160491,0.0227
30/04/2001,-0.132190533,0.122074654,0.411719132,-0.055267879,-0.066590872,-0.181398607,-0.090024836,0.02377
31/05/2001,-0.116716026,0.031584188,0.152348793,-0.056491101,-0.058719248,-0.245589592,-0.07595413,0.0246
29/06/2001,-0.156821805,-0.03047904,-0.082878398,-0.131723144,-0.104016102,-0.194762108,-0.114533359,0.02584
31/07/2001,-0.162299017,0.036013551,0.034189973,-0.174511822,-0.099958856,-0.152705708,-0.084582042,0.02408
31/08/2001,-0.245405357,-0.054959064,-0.143569226,-0.201644923,-0.083469538,-0.189021904,-0.056093265,0.02499
28/09/2001,-0.276081602,-0.110940874,-0.24049556,-0.255770696,-0.010350576,-0.237135443,0.022494146,0.02315
31/10/2001,-0.254232247,-0.129197152,-0.300009242,-0.236054178,-0.028060376,-0.233307136,0.013995945,0.02157
30/11/2001,-0.154793928,-0.184888099,-0.445811417,-0.135177076,-0.056744934,-0.223539891,-0.023894748,0.02175
31/12/2001,-0.142106167,-0.223185945,-0.425201145,-0.19394179,-0.02980362,-0.257732658,-0.010422891,0.02458
31/01/2002,-0.180193793,-0.207099471,-0.412133893,-0.19282194,-0.013387303,-0.236659512,0.030692994,0.02369
28/02/2002,-0.119120874,-0.18105843,-0.347847778,-0.160729203,0.046452767,-0.232851083,0.083233998,0.02533
29/03/2002,-0.0379242,-0.05489045,-0.180235668,-0.091776463,0.124953692,-0.1287809,0.147854912,0.02763
30/04/2002,-0.141902121,-0.085344752,-0.20249179,-0.129728884,0.112199616,-0.201052853,0.14566226,0.02687
31/05/2002,-0.145203727,-0.078574202,-0.234234363,-0.113399235,0.167386892,-0.106670782,0.202542758,0.02785
28/06/2002,-0.190770323,-0.020206615,-0.110033138,-0.061306586,0.118359055,-0.053251461,0.133912358,0.02661
31/07/2002,-0.24293716,-0.036498037,-0.11408785,-0.091804378,0.113338083,-0.021817185,0.113377723,0.02318
30/08/2002,-0.191344494,0.003483503,-0.056425929,-0.082569443,0.126861992,0.044750986,0.114880571,0.02455
30/09/2002,-0.210406811,0.117627391,0.155791047,-0.051617183,0.095964881,0.159071251,0.086266572,0.02455
31/10/2002,-0.172908851,0.161997233,0.13887767,0.056560898,0.134175277,0.186849561,0.114735658,0.02455
29/11/2002,-0.179915713,0.157084824,0.274493078,-0.032330375,0.145949391,0.121404905,0.134926643,0.02279
31/12/2002,-0.240893985,0.238588259,0.482558369,-0.022243338,0.212854336,0.095495017,0.225215771,0.02251
31/01/2003,-0.254060406,0.343510111,0.748577183,0.023065355,0.284528981,0.141344869,0.280831692,0.02318
28/02/2003,-0.258807325,0.354241365,0.92130371,0.02246429,0.15548084,0.14369668,0.157497956,0.0243
31/03/2003,-0.291095397,0.136393213,0.28409644,-0.066719565,0.082838477,0.075877515,0.089960381,0.02457
30/04/2003,-0.195604794,0.130027114,0.118701705,-0.039224829,0.077193913,0.127213237,0.078514225,0.02463
30/05/2003,-0.152256585,0.215503484,0.363580977,0.014631518,0.086416596,0.086157327,0.097871915,0.02397
30/06/2003,-0.061912201,0.163482495,0.340890538,-0.02526561,0.076043924,-0.001610964,0.084971446,0.02497
31/07/2003,0.053723033,0.177771504,0.343200977,0.143426801,0.148574811,-0.050991505,0.149510679,0.02621
29/08/2003,0.077614163,0.178567529,0.282541068,0.125053135,0.177623079,-0.034780107,0.183617409,0.02674
30/09/2003,0.192600063,0.137387423,0.134180997,0.168273376,0.168564534,-0.064785164,0.170687083,0.02706
31/10/2003,0.170732033,0.204830333,0.238433874,0.226104508,0.181608937,-0.019858139,0.191044184,0.02828
28/11/2003,0.1185224,0.198011909,0.285909722,0.194125642,0.226511207,0.004839048,0.234647324,0.02895
31/12/2003,0.249054949,0.226641252,0.232971115,0.38616459,0.183235956,0.054960593,0.178098473,0.02918
30/01/2004,0.318325743,0.159939112,0.089704604,0.329978058,0.091909213,0.080576543,0.07628443,0.02889
27/02/2004,0.364054999,0.195216028,-0.001305481,0.431655672,0.143181972,0.149633408,0.116877728,0.02906
31/03/2004,0.359122864,0.332826725,0.244211946,0.53271085,0.294757341,0.212577654,0.253326983,0.02954
30/04/2004,0.250498656,0.317611773,0.457755996,0.386142622,0.139599,0.185211539,0.125583809,0.02989
31/05/2004,0.201615983,0.266073507,0.389178286,0.375891185,0.085016604,0.083802235,0.064562697,0.03026
30/06/2004,0.201898096,0.243944526,0.291262873,0.443783106,0.129191603,0.039624735,0.118484057,0.03038
30/07/2004,0.134823471,0.257906711,0.468556542,0.343850757,0.103468234,-0.085108556,0.087856895,0.02981
31/08/2004,0.109706748,0.187411082,0.333860614,0.339392241,0.095409791,-0.104079571,0.076020222,0.02973
30/09/2004,0.141732953,0.266980871,0.681792233,0.48625546,0.091705019,-0.16899926,0.070471977,0.02949
29/10/2004,0.096284451,0.228951701,0.788091376,0.276384799,0.123959298,-0.226958664,0.097652875,0.02881
30/11/2004,0.125510461,0.216669786,0.602572475,0.320349536,0.142573738,-0.236760722,0.117386363,0.02803
31/12/2004,0.113158914,0.076410194,0.243458067,0.257818761,0.041814266,-0.212587032,0.033878931,0.0283
31/01/2005,0.083803696,0.066858887,0.385690061,0.187300049,0.032786751,-0.270952855,0.030040642,0.02819
28/02/2005,0.091458616,0.071295806,0.349486999,0.162261548,0.079010989,-0.218563009,0.079167039,0.02937
31/03/2005,0.09027623,0.074628142,0.465388105,0.193313832,-0.029348215,-0.255556057,-0.018375271,0.02911
29/04/2005,0.069469436,0.02869307,0.222845802,0.244420685,0.098702155,-0.249626527,0.097562271,0.028
31/05/2005,0.105669381,0.001931712,0.130207269,0.161285322,0.046129195,-0.195840666,0.030875735,0.02623
30/06/2005,0.100912251,0.061450939,0.290250657,0.154996078,0.090438316,-0.145099011,0.080866438,0.02625
29/07/2005,0.176291183,0.088214362,0.211273066,0.210447233,0.068986506,-0.029060963,0.068191412,0.02659
31/08/2005,0.175311749,0.189893707,0.542366929,0.267479974,0.01973327,-0.139055713,0.025138066,0.02714
30/09/2005,0.198538417,0.163690989,0.296209049,0.148278966,0.08027128,-0.044396117,0.084133687,0.02768
31/10/2005,0.161267262,0.070505576,0.060480113,0.257012623,0.04444182,-0.069416185,0.049277517,0.02807
30/11/2005,0.171229067,0.084714418,0.072808998,0.310367933,0.055893234,-0.068665062,0.057991004,0.0276
30/12/2005,0.157709165,0.175439633,0.270640757,0.320355319,0.149024351,-0.008639884,0.138009598,0.02777
31/01/2006,0.206881903,0.182861693,0.196316227,0.510039764,0.310984913,0.07610796,0.300154906,0.02843
28/02/2006,0.181289795,0.034087874,-0.023420095,0.395208669,0.238421682,-0.022871441,0.234644163,0.02873
31/03/2006,0.222492298,0.019125334,-0.053574052,0.453116901,0.324018938,-0.030422788,0.299252031,0.02902
28/04/2006,0.262480915,0.154128098,0.128028638,0.83607426,0.476872731,-0.014647738,0.432778312,0.02965
31/05/2006,0.165621344,0.172176735,0.1080602,1.016109635,0.487343203,-0.021587598,0.473801823,0.02957
30/06/2006,0.152091009,0.133112164,0.042161999,0.892333357,0.353785033,-0.013291518,0.340613243,0.02951
31/07/2006,0.116488843,0.117383085,-0.001627985,0.893945283,0.411744255,-0.056057302,0.402381359,0.03
31/08/2006,0.14409077,0.000348912,-0.25011529,0.846873408,0.410610533,-0.025547094,0.367840224,0.03055
29/09/2006,0.127709549,-0.102620722,-0.353650646,0.823816981,0.233581282,-0.040454489,0.208776866,0.02972
31/10/2006,0.185198773,0.001804025,-0.30479361,0.850791942,0.259239229,0.086356241,0.22801576,0.03016
30/11/2006,0.150020423,0.052957993,-0.213455318,0.681877646,0.272211211,0.191003239,0.234909632,0.03016
29/12/2006,0.155532781,-0.027114338,-0.302201557,0.533966909,0.182698344,0.080393172,0.159750781,0.03021
31/01/2007,0.139624213,-0.043614652,-0.346776415,0.317555075,0.100902834,0.003872756,0.07714096,0.02993
28/02/2007,0.122532691,0.05411641,-0.214650534,0.42040886,0.150448445,0.020174458,0.123695148,0.03053
30/03/2007,0.11227251,0.040973643,-0.226242462,0.401835472,0.07772369,-0.041016095,0.074209794,0.03041
30/04/2007,0.140813197,-0.014519799,-0.281342247,0.25977305,-0.021650498,-0.04918025,-0.016196967,0.03041
31/05/2007,0.233443462,-0.022388085,-0.284543279,0.145860842,-0.025673358,0.001516785,-0.031969138,0.03177
29/06/2007,0.21534965,-0.020575471,-0.263811903,0.163928612,0.004595287,0.03347676,-0.004280218,0.03307
31/07/2007,0.171732014,-0.031375785,-0.232925057,0.124399177,0.0012462,0.080627978,-0.008530437,0.03234
31/08/2007,0.141911301,-0.031076318,-0.199715092,0.047561106,-0.001260182,0.201792582,0.015040356,0.03138
28/09/2007,0.155261674,0.114364146,0.039451264,0.0803064,0.167807546,0.374386192,0.171839918,0.03235
31/10/2007,0.144713046,0.100152922,0.277378722,0.003485763,0.221508905,0.179857162,0.237296061,0.03267
30/11/2007,0.083392355,0.011601813,0.144105721,-0.075100633,0.117056987,0.13408257,0.14260243,0.03258
31/12/2007,0.046908167,0.110836851,0.356451975,-0.098158515,0.222823778,0.226389831,0.241748171,0.03193
31/01/2008,-0.057987449,0.157693044,0.361062474,0.033365177,0.317060982,0.336774184,0.336426918,0.03212
29/02/2008,-0.0631384,0.260259009,0.452150278,0.124424013,0.36857488,0.482064314,0.373629118,0.03241
31/03/2008,-0.096711806,0.172338055,0.411395339,0.018807518,0.300299969,0.414731871,0.311189787,0.03414
30/04/2008,-0.073615946,0.204009704,0.603015206,-0.072203556,0.200297627,0.397435312,0.204824879,0.0349
30/05/2008,-0.089493982,0.238670753,0.866123889,-0.121681056,0.268489663,0.283317087,0.278859662,0.03709
30/06/2008,-0.156246559,0.373449205,0.94518043,-0.042756229,0.361791101,0.452485836,0.363974972,0.0406
31/07/2008,-0.1454746,0.189374315,0.582230191,-0.105597073,0.309995619,0.266425629,0.30972501,0.03439
29/08/2008,-0.135154368,0.146907666,0.549269723,-0.101159201,0.168859058,0.157421987,0.18100156,0.0356
30/09/2008,-0.250869069,-0.058761884,0.221606597,-0.24906862,0.098095365,-0.151204722,0.132392389,0.03185
31/10/2008,-0.38664084,-0.280900438,-0.267568317,-0.444076284,-0.1556957,-0.253197179,-0.129245827,0.02256
28/11/2008,-0.398070388,-0.307445325,-0.374140217,-0.468701494,-0.029234784,-0.309713945,0.006710139,0.00872
31/12/2008,-0.386945101,-0.366124759,-0.530925268,-0.49786701,-0.010198572,-0.299413806,0.02354746,0.01596
30/01/2009,-0.378153007,-0.423097145,-0.576184088,-0.566512017,-0.054900694,-0.361061132,-0.023931394,0.02341
27/02/2009,-0.423937012,-0.5082238,-0.646463669,-0.615558942,-0.096452404,-0.485025951,-0.056872439,0.02129
31/03/2009,-0.373973493,-0.455440844,-0.637423748,-0.556836112,-0.048809972,-0.375635227,-0.018116832,0.01987
30/04/2009,-0.349269887,-0.469815485,-0.681985058,-0.511846542,-0.027252578,-0.342178935,0.007680593,0.02187
29/05/2009,-0.32349843,-0.416059936,-0.646585676,-0.43981565,0.057696128,-0.235650992,0.078490123,0.02265
30/06/2009,-0.263308209,-0.47417185,-0.664838193,-0.431320648,-0.046526565,-0.416587594,-0.020154557,0.02373
31/07/2009,-0.194007265,-0.383357256,-0.614555311,-0.315850078,-0.008201048,-0.341529716,0.023635765,0.02379
31/08/2009,-0.173556401,-0.337933043,-0.597454266,-0.212378866,0.1229022,-0.317662441,0.128155707,0.02266
30/09/2009,-0.045195799,-0.23896383,-0.536497113,-0.109880039,0.152591035,-0.206342752,0.132353777,0.0244
30/10/2009,0.116059844,-0.00083351,-0.278382488,0.254366969,0.452112023,-0.009946052,0.431508216,0.02711
30/11/2009,0.224973119,0.111934444,-0.115928235,0.509640092,0.459934838,0.113810367,0.428466579,0.02719
31/12/2009,0.257348856,0.187158245,0.110398149,0.82132049,0.24866381,0.036427245,0.226637946,0.02917
29/01/2010,0.304380766,0.163347468,0.153479991,0.751146009,0.166634191,-0.009787674,0.155755833,0.02904
26/02/2010,0.460590786,0.262707099,0.331928792,0.821507847,0.181945553,0.07968679,0.175335381,0.02898
31/03/2010,0.462825233,0.203762541,0.320032462,0.796512809,0.207966927,-0.094602198,0.194307421,0.03015
30/04/2010,0.329159933,0.218253035,0.397319671,0.602342124,0.330805971,-0.085968253,0.313234045,0.03089
31/05/2010,0.163063506,0.003443462,-0.063455325,0.354366312,0.222423353,-0.23554106,0.229332622,0.03014
30/06/2010,0.115351939,0.026204523,-0.088986019,0.202277072,0.335193731,-0.107709221,0.332506658,0.02905
30/07/2010,0.097918306,0.06145622,-0.049151561,0.161643339,0.233254752,0.051342334,0.228383976,0.02658
31/08/2010,0.022905271,0.040522085,-0.096695599,0.0690267,0.299002184,0.074215186,0.300410151,0.02526
30/09/2010,0.06137808,0.098764678,-0.02153108,0.205227216,0.287949091,0.194231875,0.286785674,0.02691
29/10/2010,0.116687966,0.116837969,-0.083253839,0.187799438,0.31610003,0.323038718,0.294076445,0.02844
30/11/2010,0.079625672,0.0749963,-0.05274807,0.113095114,0.200041338,0.159925462,0.162280184,0.02855
31/12/2010,0.100058693,0.166722108,0.017668414,0.165656449,0.342783105,0.340100145,0.285496018,0.03097
31/01/2011,0.163472793,0.270818578,0.145218304,0.304873879,0.273326955,0.529579759,0.22049326,0.03194
28/02/2011,0.174629997,0.241436639,0.12146171,0.265225102,0.331266766,0.55054908,0.24899924,0.03239
31/03/2011,0.088649863,0.283055004,0.158192121,0.130477205,0.377811695,0.697608979,0.280714923,0.03239
29/04/2011,0.110550795,0.302273805,0.194580767,0.165688005,0.452325104,0.628175498,0.306717253,0.03131
31/05/2011,0.186282793,0.328479148,0.300241913,0.266394175,0.342273728,0.706595138,0.25459605,0.03092
30/06/2011,0.218249278,0.257562997,0.2209303,0.338886181,0.266128633,0.49785739,0.196409532,0.03084
29/07/2011,0.120737672,0.212788859,0.200185341,0.248968867,0.461165108,0.315189222,0.369299106,0.03047
31/08/2011,0.081287458,0.257000998,0.257365396,0.182005072,0.531175847,0.406821569,0.455947783,0.02723
30/09/2011,-0.050271785,-0.000657905,0.031468572,-0.141834838,0.246371318,0.045522597,0.231109141,0.02712
31/10/2011,0.00235561,0.01500184,0.153506064,-0.081644687,0.278416055,-0.045700389,0.26290686,0.02604
30/11/2011,-0.00723242,-0.003886733,0.16290124,-0.090835381,0.240763334,-0.061782397,0.25519361,0.02641
30/12/2011,-0.054859906,-0.133704737,0.047941944,-0.22379627,0.065665687,-0.15923738,0.095694966,0.02611
31/01/2012,-0.032719373,-0.120998854,0.033953389,-0.161613437,0.278216446,-0.20568172,0.295871271,0.02627
29/02/2012,-0.015742366,-0.10898397,0.067341092,-0.172133638,0.175549979,-0.199178194,0.206061337,0.02715
30/03/2012,0.014539097,-0.163105346,-0.02513154,-0.185629803,0.099543483,-0.175874264,0.153143396,0.02816
30/04/2012,-0.023162277,-0.194556983,-0.086965457,-0.186045473,-0.026184828,-0.180139079,0.061914037,0.02713
31/05/2012,-0.077504819,-0.229148153,-0.154913137,-0.243236589,-0.039771341,-0.244907544,0.010246203,0.02449
29/06/2012,-0.022498616,-0.143634327,-0.122292376,-0.239212244,0.015034497,-0.030169347,0.059519244,0.02529
31/07/2012,0.018423495,-0.114520442,-0.088514272,-0.279649693,-0.068819629,0.099333326,-0.019198462,0.02335
