Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,Breakeven Changes
30/12/1994,0.010133335,0.023383246,-0.004650107,0.032305738,0.002388213,0.047722972,-0.000259977,0.00213
31/01/1995,-0.02131732,-0.010777635,-0.042627126,0.032588399,-0.027650904,-0.038522264,-0.027019855,-0.00171
28/02/1995,0.004623984,-0.005810627,0.023352167,-0.132872735,-0.002566729,0.024890111,0.001587232,0.00074
31/03/1995,0.003432523,0.019691113,0.033888225,0.040196359,0.049267434,-0.013320715,0.034313752,-0.00092
28/04/1995,0.029134356,0.015474093,0.045836657,-0.030803369,-0.005061699,0.01803756,-0.014708928,-9.00E-05
31/05/1995,0.014528502,-0.012034172,-0.03344024,0.011206934,-0.018887928,0.024132245,-0.010692739,-0.00245
30/06/1995,-0.003151108,-0.014488843,-0.080569823,0.017143322,-0.008346875,0.052390781,-0.005160189,0.00322
31/07/1995,0.055771978,0.01464815,0.024388222,0.021586724,-0.012270291,0.01640429,-0.009414703,-0.00096
31/08/1995,0.015804425,0.012314248,0.032711661,-0.030941192,0.003652834,0.022627525,-0.003860503,-0.00034
29/09/1995,0.022431808,0.005183605,-0.021383525,-0.012089188,-4.02E-05,0.032166744,-0.001034435,-0.00084
31/10/1995,-0.009511384,0.003786059,0.006702833,-0.033967202,-0.010561714,0.021928216,-0.005691614,-0.00217
30/11/1995,0.040342884,0.011072488,0.048799381,0.005176359,0.00342501,-0.009557039,0.006723158,-0.00222
29/12/1995,0.029302701,0.04841877,0.17800488,0.00143804,-0.00586843,0.036456979,-0.001285762,-0.00106
31/01/1996,0.036854121,0.002482681,-0.011579173,-0.040260424,0.050385906,0.032178031,0.047562814,0.00056
29/02/1996,-0.002067646,0.017314693,0.063245177,-0.00280787,-0.018168828,0.003972759,-0.0178717,0.00284
29/03/1996,0.019668755,0.043401556,0.108845885,0.025595147,-0.013544868,0.014226876,-0.014173383,0.00172
30/04/1996,0.026254113,0.044367134,0.051871154,-0.011850786,-0.015379449,0.107601099,-0.012298444,-0.0008
31/05/1996,0.004470461,-0.008817849,-0.023142875,-0.022039617,-0.002592308,-0.016022739,-0.004484182,-0.00098
28/06/1996,0.007040017,-0.005623385,0.104566478,-0.096236146,-0.036341034,-0.037691063,-0.032455108,-0.00189
31/07/1996,-0.046617485,-0.018849745,-0.073228458,0.001008009,0.019005176,-0.06407215,0.016094312,0.00062
30/08/1996,0.014625186,0.044098404,0.026277979,0.010804917,-0.005789628,0.040750461,-0.004577988,0.00095
30/09/1996,0.049895059,0.000662925,0.092338487,-0.074804054,-0.032344258,-0.065612757,-0.02760178,-0.00094
31/10/1996,0.005380455,-0.018144953,0.02755364,0.03265726,-0.004907876,-0.095018084,-0.003678783,-0.00032
29/11/1996,0.056072351,0.051511576,0.110198599,0.064994744,-0.015239163,0.02776558,-0.015604666,-0.00145
31/12/1996,-0.012572377,0.009185221,0.009180302,-0.018634952,-0.014610442,-0.00320023,-0.015467274,0.00099
31/01/1997,0.038315024,0.002026315,-0.036219708,0.053113006,-0.057908715,0.005492602,-0.067474593,-0.00091
28/02/1997,0.015537624,0.006540111,-0.162226853,0.046802959,0.061596717,0.076076638,0.055202502,-0.00058
31/03/1997,-0.0192972,0.016356152,0.008896172,-0.001212418,-0.040018518,0.039794786,-0.036509834,0.00148
30/04/1997,0.045781254,0.003530646,0.019841861,-0.011280547,-0.039175444,0.037501402,-0.036157822,-0.00163
30/05/1997,0.042363452,0.010428822,0.024419269,0.018928647,0.013477788,-0.038935932,0.01043074,-0.0039
30/06/1997,0.049077879,-0.061476198,-0.061824218,-0.017335206,-0.024939712,-0.100288772,-0.035108396,-0.00096
31/07/1997,0.064527397,0.027971476,0.031622399,0.032930836,-0.026932534,0.064173485,-0.030802558,-0.00073
29/08/1997,-0.066227185,-0.005154134,0.047765498,-0.037662707,-0.003303859,0.017138279,-0.00365094,0.00078
30/09/1997,0.051523229,6.67E-03,0.066629488,-0.017290656,0.041458933,-0.061031946,0.029016365,-0.00339
31/10/1997,-0.061028918,-0.000270053,0.033758069,-0.041765127,-0.075124178,0.037158134,-0.073612674,0.00273
28/11/1997,0.031286286,-0.043548232,-0.153891697,-0.050594891,-0.03153778,-0.016801212,-0.047310209,-0.0005
31/12/1997,0.023014125,-0.04450201,-0.094197956,-0.044070756,-0.010167529,-0.049160332,-0.029136549,-0.00086
30/01/1998,0.028971147,-0.000516147,-0.038590065,-0.01645071,0.042713669,0.010645701,0.045276688,-0.0028
27/02/1998,0.063241149,-0.04679082,-0.093178753,-0.038641819,-0.004960363,-0.03995299,-0.01477383,0.00173
31/03/1998,0.051852789,-0.001617791,-0.005566412,0.003697015,0.007306808,-0.032397307,0.004676913,-0.00142
30/04/1998,0.002388912,-0.01720585,-0.035660017,0.006938783,0.007276932,-0.071342967,0.015165598,5.00E-05
29/05/1998,-0.005551587,-0.053125902,-0.063682702,-0.06049096,-0.065424852,-0.024786257,-0.048424219,-0.00102
30/06/1998,0.025581724,-0.025831803,-0.069564326,-0.049106735,0.015021291,0.00478584,0.010166588,0.00067
31/07/1998,0.001405291,-0.064288562,-0.09880683,0.01866781,-0.03183106,-0.079516028,-0.039526985,0.00056
31/08/1998,-0.138185832,-0.067368575,-0.07147689,-0.020561326,-0.051872863,-0.072550339,-0.039933086,-0.00122
30/09/1998,-0.001245747,0.073337392,0.18556003,-0.02480802,0.073548385,0.017660565,0.072069515,-0.00517
30/10/1998,0.071425451,-0.033053758,-0.112488956,-0.019300341,-0.024045412,0.038332761,-0.017724695,0.00217
30/11/1998,0.072198683,-0.075607441,-0.224421636,-0.00237506,-0.003108669,-0.009734017,-0.002681348,-0.00143
31/12/1998,0.03579558,-0.037626508,0.017935657,-0.054803987,-0.012554231,-0.05656783,-0.019995298,0.00016
29/01/1999,0.033060166,-0.007889186,0.004097905,-0.021725135,-0.008286154,-0.024490011,-0.010623485,-0.00201
26/02/1999,-0.014424922,-0.038189429,-0.062336616,0.003974864,0.013626053,-0.092699895,0.000345564,0.00398
31/03/1999,0.044016306,0.091344282,0.341233701,0.002778812,-0.038687484,0.06222069,-0.028234501,0.00103
30/04/1999,0.043848571,0.036714448,0.077161453,0.105675461,0.024329377,-0.06300866,0.020930386,0.00031
31/05/1999,-0.030805989,-0.064750891,-0.07987736,-0.097955389,-0.058926834,-0.004968631,-0.060815896,0.00239
30/06/1999,0.049908723,0.051439439,0.128841105,0.107313167,-0.020851476,-0.026157556,-0.030885053,0.00165
30/07/1999,-0.019605058,0.013662327,0.067990993,0.005405354,-0.02066396,-0.038736862,-0.027448355,0.0019
31/08/1999,-0.003630735,0.053548459,0.088598704,0.057593757,-0.008927277,0.029717471,-0.005795603,-0.00403
30/09/1999,-0.018533217,0.0478827,0.076894458,0.017359946,0.151217164,-0.021286996,0.16400776,0.00472
29/10/1999,0.052431199,-0.043401215,-0.081507538,-0.007929735,-0.003914755,-0.025221649,0.002672595,-0.00123
30/11/1999,0.03746337,0.018829857,0.06484212,0.016040772,-0.021086102,-0.03390059,-0.029525218,-0.00045
31/12/1999,0.080270562,0.024251735,0.060543767,0.05127224,-0.002999522,-0.006454796,-0.011603176,0.00261
31/01/2000,-0.046065186,0.049220142,0.099671201,0.00619692,-0.012378213,0.028721072,-0.019066891,-8.00E-05
29/02/2000,0.01277841,0.012893676,0.115583168,-0.056847962,0.021722622,-0.033602528,0.027950491,-0.00143
31/03/2000,0.059361243,0.004696971,-0.041324572,-0.006562945,-0.040332754,0.038816021,-0.052213115,-0.00221
28/04/2000,-0.022945151,-0.016667039,-0.00748873,-0.024806606,-0.018805954,-0.044311213,-0.023809595,0.00045
31/05/2000,-0.02449698,0.061527616,0.178205596,-0.020226313,-0.001261829,0.034649515,-0.009534342,-0.00148
30/06/2000,0.020955286,0.018680975,0.120908164,0.031256057,0.053670995,-0.07836009,0.060773174,0.00138
31/07/2000,-0.014881329,-0.054975096,-0.11546281,0.005853594,-0.034138159,-0.017743928,-0.048812826,-0.00118
31/08/2000,0.041012654,0.092573663,0.232216483,0.019087313,-0.002885432,0.019668601,-0.003882154,0.0006
29/09/2000,-0.050395008,-0.011043768,-0.028202778,0.008944162,-0.018547,-0.019225345,-0.018433844,-0.00146
31/10/2000,-0.004746007,-0.029489133,0.005751191,-0.069259498,-0.031615942,-0.011296608,-0.037919596,-0.00108
30/11/2000,-0.062510597,0.074838856,0.124865298,7.37E-06,0.016159619,0.014181937,0.015887201,-0.00102
29/12/2000,-0.004020501,0.027091985,-0.043380308,0.008814415,0.000510482,0.005354255,0.001100374,-0.00044
31/01/2001,0.026029918,-0.028259348,-0.073513356,0.02730677,-0.020815579,-0.047029503,-0.028923362,-0.00026
28/02/2001,-0.078678279,-0.008043134,-0.025723685,-0.035176723,-0.005695881,-0.030267736,-0.000746924,-0.0005
30/03/2001,-0.04786838,-0.046226105,-0.032088491,-0.055514569,-0.04669011,-0.090716874,-0.03842785,-0.00314
30/04/2001,0.069750449,0.031666947,0.067311207,0.028529663,0.026920334,0.031652649,0.020060545,0.00107
31/05/2001,-0.007102115,-0.024079994,-0.038262098,-0.021494906,0.007160728,-0.046482978,0.005780968,0.00083
29/06/2001,-0.025401501,-0.042605956,-0.1079011,-0.050972633,0.002965633,-0.016265722,0.016485534,0.00124
31/07/2001,-0.021280574,0.009837483,-0.002553761,-0.043714865,-0.029764488,0.033557873,-0.016638482,-0.00176
31/08/2001,-0.062263758,-0.00336551,0.020419985,-0.014409228,0.015382332,-0.024035795,0.027118089,0.00091
28/09/2001,-0.088998934,-0.069627008,-0.13818568,-0.059458839,0.059751351,-0.077412538,0.063288999,-0.00184
31/10/2001,0.025292818,-0.049417972,-0.073058035,-0.044601826,-0.048945197,-0.006334967,-0.045915684,-0.00158
30/11/2001,0.062491282,0.006099079,-0.109434663,0.132055797,-0.013829991,0.027102056,-0.022074164,0.00018
31/12/2001,0.010930586,-0.021165696,-0.007803624,-0.05973452,0.02908713,-0.038918262,0.014917205,0.00283
31/01/2002,-0.019522389,-0.008136282,-0.05245097,0.028733998,-0.004247179,-0.019974445,0.011423848,-0.00089
28/02/2002,-0.01004278,0.024535466,0.080818329,0.003183858,0.054610689,-0.025429586,0.050191386,0.00164
29/03/2002,0.039896125,0.100714447,0.216678108,0.022082386,0.024823589,0.032635006,0.01893526,0.0023
30/04/2002,-0.045864587,-0.001576498,0.038334332,-0.014450054,0.015277704,-0.053928064,0.018112007,-0.00076
31/05/2002,-0.010922376,-0.016855944,-0.076541372,-0.003134369,0.057135981,0.066158904,0.055716559,0.00098
28/06/2002,-0.077354391,0.018040035,0.036790397,0.004787921,-0.03915685,0.042559644,-0.041526381,-0.00124
31/07/2002,-0.084373535,-0.006953495,-0.007098152,-0.074784205,-0.034120447,0.067874423,-0.03444671,-0.00343
30/08/2002,0.001641521,0.037990899,0.086836701,-0.004387305,0.027716356,0.042381393,0.028504503,0.00137
30/09/2002,-0.110473827,0.036200732,0.055642907,-0.027726873,0.030694328,0.023540171,0.035999125,0
31/10/2002,0.073984206,-0.011679836,-0.086622528,0.064376468,-0.015787036,0.017479217,-0.020910857,0
29/11/2002,0.053490183,0.001845739,-0.003387819,0.036812938,-0.003592351,-0.029533885,-0.004361188,-0.00176
31/12/2002,-0.064238273,0.047782021,0.154175778,-0.049933146,0.089169206,-0.061123907,0.095658978,-0.00028
31/01/2003,-0.036528421,0.075885327,0.117569903,0.076404953,0.05459767,0.021042653,0.057335164,0.00067
28/02/2003,-0.016342548,0.032718918,0.187582846,0.002594473,-0.05133908,-0.023421424,-0.050933553,0.00112
31/03/2003,-0.005404163,-0.07635045,-0.186837553,-0.067068158,-0.03960466,-0.028598401,-0.040517472,0.00027
30/04/2003,0.082659006,-0.007169688,-0.095405648,0.014584558,0.009985317,-0.008786042,0.007420363,6.00E-05
30/05/2003,0.04237822,0.057510046,0.12559998,0.052745032,0.066186934,0.027326745,0.074665065,-0.00066
30/06/2003,0.020972353,-0.025529934,0.019537862,-0.03472214,-0.048330598,-0.041685682,-0.05278886,0.001
31/07/2003,0.028492958,0.005242349,-0.005387319,0.08533827,0.030984796,0.015057119,0.022988966,0.00124
29/08/2003,0.024351804,0.03869245,0.037754384,-0.020385754,0.053708028,0.06018783,0.059020902,0.00053
30/09/2003,-0.015557695,-4.96E-06,-0.066470341,0.009624144,0.022765992,-0.008277844,0.024681442,0.00032
31/10/2003,0.054291168,0.046923931,-0.002665709,0.11706456,-0.004800505,0.066358162,-0.003885456,0.00122
28/11/2003,0.006509033,-0.003823947,0.034817699,0.009771114,0.034272093,-0.005080503,0.032088324,0.00067
31/12/2003,0.044965944,0.072821263,0.106660422,0.102856337,0.050739822,-0.014292606,0.045476019,0.00023
30/01/2004,0.01690433,0.017380974,-0.01228743,0.032774159,-0.026800272,0.045835028,-0.03404223,-0.00029
27/02/2004,0.017777944,0.06412672,0.088398154,0.079243417,-0.006792828,0.038989199,-0.015138427,0.00017
31/03/2004,-0.009000412,0.029993554,0.013068974,-0.001216015,0.08773489,0.024587371,0.076702769,0.00048
30/04/2004,-0.003869578,-0.018503393,0.059849847,-0.082436913,-0.111047128,-0.0311563,-0.095259206,0.00035
31/05/2004,0.001631087,0.016145636,0.072647998,0.04495929,0.015120693,-0.060573589,0.016404404,0.00037
30/06/2004,0.021212055,-0.042562144,-0.052323663,0.012908494,-0.009584651,-0.080748096,-0.004811494,0.00012
30/07/2004,-0.028904404,0.016525311,0.131175527,0.010215904,0.007498612,-0.10672857,-0.005023279,-0.00057
31/08/2004,0.001680119,-0.019517969,-0.057428393,-0.023635836,0.046012975,0.038203976,0.047497985,-8.00E-05
30/09/2004,0.01285337,0.06700586,0.177036726,0.120328572,0.019306909,-0.080139464,0.019397914,-0.00024
29/10/2004,0.012323426,0.015499898,0.060371674,-0.040673516,0.02460253,-0.008016602,0.021407394,-0.00068
30/11/2004,0.033341707,-0.013779545,-0.072547196,0.044552413,0.051401179,-0.017695945,0.050643099,-0.00078
31/12/2004,0.033498307,-0.050855247,-0.141326929,0.050625879,-0.041921147,0.016927204,-0.032657222,0.00027
31/01/2005,-0.00991255,0.008353451,0.100691312,-0.025127588,-0.035233229,-0.031685949,-0.03762836,-0.00011
28/02/2005,0.024966523,0.068552276,0.059962253,0.05648368,0.037659955,0.113651701,0.031833215,0.00118
31/03/2005,-0.01007397,0.033197417,0.100076714,0.025468619,-0.021500407,-0.023916359,-0.020616805,-0.00026
29/04/2005,-0.022879696,-0.06045755,-0.115570181,-0.043139823,0.006225354,-0.023439416,0.011597743,-0.00111
31/05/2005,0.035534806,-0.010289302,-0.008612072,-0.024850759,-0.03345289,0.006763357,-0.04535108,-0.00177
30/06/2005,0.016818302,0.014313949,0.081872369,0.007422822,0.032364693,-0.022744214,0.043448613,2.00E-05
29/07/2005,0.037586044,0.042155979,0.061935091,0.058716188,-0.012321555,0.014517603,-0.0166911,0.00034
31/08/2005,0.000846074,0.072095204,0.200217618,0.022367594,-0.002181762,-0.079411015,0.005278686,0.00055
30/09/2005,0.032869514,0.043509263,-0.010815373,0.014966517,0.079819608,0.020997889,0.078063195,0.00054
31/10/2005,-0.01915697,-0.06581875,-0.132467812,0.050167717,-0.009380559,-0.033989175,-0.011432052,0.00039
30/11/2005,0.042206117,-0.000689421,-0.061764854,0.088889611,0.062928897,-0.016903076,0.059367927,-0.00047
30/12/2005,0.021568279,0.028530959,0.017017012,0.058633558,0.042582618,0.082468863,0.040505413,0.00017
31/01/2006,0.032140595,0.014720481,0.036307761,0.114924207,0.100755332,0.051091769,0.099491789,0.00066
28/02/2006,0.003231958,-0.065844335,-0.134728918,-0.023856705,-0.019774694,0.011219062,-0.020157637,0.0003
31/03/2006,0.024453908,0.018247761,0.066109533,0.068030765,0.046131547,-0.031459631,0.030633477,0.00029
28/04/2006,0.009082624,0.06400293,0.054136529,0.209033038,0.122390884,-0.007550747,0.115561317,0.00063
31/05/2006,-0.043913094,0.005188121,-0.026161687,0.070767029,-0.026600434,-0.000327302,-0.018017437,-8.00E-05
30/06/2006,0.005015247,-0.019489605,0.017531601,-0.054426516,-0.060338012,-0.014457941,-0.050848623,-6.00E-05
31/07/2006,0.005522334,0.027689491,0.017314274,0.059618023,0.029963647,-0.029453479,0.028614388,0.00049
31/08/2006,0.025589071,-0.040195538,-0.098507543,-0.003042201,-0.002983075,-0.049655649,-0.019481673,0.00055
29/09/2006,0.018080771,-0.063903027,-0.147390478,0.002295642,-0.055695938,0.005378439,-0.047302582,-0.00083
31/10/2006,0.030845183,0.042888509,-0.06689174,0.065700105,0.011223888,0.093675992,0.004301997,0.00044
30/11/2006,0.011271988,0.050337226,0.061503282,-0.010488941,0.0738786,0.077797113,0.065315039,0
29/12/2006,0.026464931,-0.049683815,-0.097733538,-0.034466716,-0.030773566,-0.018061471,-0.022821643,5.00E-05
31/01/2007,0.017930804,-0.002489359,-0.029890827,-0.042369143,0.024627008,-0.023353333,0.021174256,-0.00028
28/02/2007,-0.01181402,0.029615122,0.040287273,0.052345067,0.024339882,0.027640059,0.022191292,0.0006
30/03/2007,0.015090187,0.005552206,0.050373526,0.054065103,-0.019998892,-0.089553146,-0.014753622,-0.00012
30/04/2007,0.03497548,0.007281816,-0.020929229,0.086509272,0.018898047,-0.015999805,0.021674363,0
31/05/2007,0.033718006,-0.002837517,-0.030499339,-0.026054725,-0.03060294,0.052974538,-0.033760422,0.00136
29/06/2007,-0.009727671,-0.017671617,0.047016026,-0.039516849,-0.031146267,0.016992254,-0.023699721,0.0013
31/07/2007,-0.030564817,0.01635695,0.059995797,0.023631193,0.026529988,0.014826617,0.02422376,-0.00073
31/08/2007,-0.000512288,-0.039898797,-0.059478067,-0.07117131,-0.00547887,0.056901001,0.00382877,-0.00096
28/09/2007,0.02998341,0.076609978,0.107413169,0.033626001,0.104156848,0.149764331,0.09986648,0.00097
31/10/2007,0.021432595,0.029588796,0.146694104,-0.010081877,0.057724784,-0.061121641,0.060399877,0.00032
30/11/2007,-0.04290045,-0.034204227,-0.049246745,-0.08798093,-0.017949367,0.035982117,-0.016216418,-9.00E-05
31/12/2007,-0.008102177,0.043539291,0.0697273,-0.058537608,0.060996121,0.061862212,0.061969943,-0.00065
31/01/2008,-0.084061407,0.039586622,-0.026593483,0.097290817,0.103590131,0.064552248,0.099035051,0.00019
29/02/2008,-0.017217448,0.120834007,0.109907503,0.145076387,0.064404648,0.139331293,0.050646095,0.00029
31/03/2008,-0.021286622,-0.064599333,0.020894547,-0.04494262,-0.068888792,-0.130916136,-0.059538727,0.00173
30/04/2008,0.061438405,0.034494338,0.111995548,-0.010549667,-0.05946248,-0.028030224,-0.06120479,0.00076
30/05/2008,0.016000288,0.025868811,0.12862831,-0.077993248,0.024471033,-0.033014118,0.025613632,0.00219
30/06/2008,-0.082328213,0.089214493,0.091371851,0.046791168,0.040115998,0.151053671,0.04127856,0.00351
31/07/2008,-0.018188315,-0.119859077,-0.137788286,-0.043567832,-0.012513897,-0.115170417,-0.016513132,-0.00621
29/08/2008,0.011558676,-0.074179242,-0.079070692,-0.066562624,-0.11262678,-0.034068461,-0.094830339,0.00121
30/09/2008,-0.107826412,-0.116453419,-0.126799413,-0.136463097,0.037310281,-0.156820463,0.05459677,-0.00375
31/10/2008,-0.163690868,-0.213401114,-0.312483172,-0.267151465,-0.186735859,-0.173938611,-0.184604535,-0.00929
28/11/2008,-0.060735375,-0.069855674,-0.187585354,-0.128379749,0.12914336,-0.042419246,0.137387494,-0.01384
31/12/2008,0.010230776,-0.044878704,-0.198251653,-0.110218981,0.081801715,0.077706845,0.079731489,0.00724
30/01/2009,-0.070925523,-0.053850897,-0.120512912,-0.052716326,0.053749002,-0.029121879,0.048054586,0.00745
27/02/2009,-0.089575635,-0.044554063,-0.074143712,0.01551691,0.017607625,-0.08171802,0.015188157,-0.00212
31/03/2009,0.063599868,0.035798392,0.046998811,0.100941049,-0.01979298,0.053694552,-0.020892685,-0.00142
30/04/2009,0.103323783,0.007186957,-0.024670816,0.089898376,-0.03814651,0.024052319,-0.036539433,0.002
29/05/2009,0.056237872,0.129881922,0.254259968,0.05805612,0.113936692,0.123580163,0.097683313,0.00078
30/06/2009,-0.00068041,-0.019180773,0.035006611,0.062665395,-0.062374394,-0.12142361,-0.053962545,0.00108
31/07/2009,0.074171173,0.032148077,-0.008434378,0.150636101,0.027178782,-0.001334251,0.02743993,6.00E-05
31/08/2009,0.03722547,-0.005979819,-0.038211772,0.074610961,0.00467271,0.000943222,-0.002406565,-0.00113
30/09/2009,0.030743164,0.01562372,0.005428597,-0.024084802,0.064736119,-0.019260273,0.058521113,0.00174
30/10/2009,-0.022447704,0.032727851,0.07037992,0.032738322,0.024605086,0.030476747,0.030813277,0.00271
30/11/2009,0.03092493,0.035122298,-0.004690383,0.049001536,0.135226279,0.077278035,0.134970798,8.00E-05
31/12/2009,0.036930926,0.019736485,0.006999563,0.073485269,-0.074748669,0.002832052,-0.072824219,0.00198
29/01/2010,-0.036172919,-0.072827765,-0.086390085,-0.089214647,-0.015475899,-0.072413923,-0.012507965,-0.00013
26/02/2010,0.019454957,0.037049033,0.069090628,0.056320839,0.030963105,0.0012569,0.032386362,-6.00E-05
31/03/2010,0.065226989,-0.012553818,0.037647377,0.08583375,0.001786976,-0.116398626,-5.09E-03,0.00117
30/04/2010,0.002507841,0.01931114,0.032434197,-0.027900013,0.059665077,0.033817763,0.059399946,0.00074
31/05/2010,-0.075753269,-0.069345534,-0.159340187,-0.105686892,0.023216197,-0.060283297,0.027553245,-0.00075
30/06/2010,-0.041674821,0.003067103,0.006791793,-0.056667145,0.024122967,0.025490802,0.025435415,-0.00109
30/07/2010,0.05738122,0.067603945,0.034922234,0.111747694,-0.051243962,0.176678728,-0.052844698,-0.00247
31/08/2010,-0.03364085,-0.025583975,-0.086302817,-0.011066675,0.058233947,0.022719598,0.056087229,-0.00132
30/09/2010,0.069510766,0.072472642,0.089090934,0.100252741,0.055676375,0.090312871,0.047430922,0.00165
29/10/2010,0.028493903,0.04971492,0.002859326,0.017804761,0.047000067,0.141621374,0.03665374,0.00153
30/11/2010,-0.003290933,-0.003657942,0.028429675,-0.016973366,0.03511772,-0.055536165,0.019378781,0.00011
31/12/2010,0.056555906,0.106747159,0.081857545,0.124176193,0.035307548,0.158604947,0.025467689,0.00242
31/01/2011,0.01938796,0.009895753,0.028117591,0.019562854,-0.066400918,0.058739448,-0.062441769,0.00097
28/02/2011,0.029231092,0.013071959,0.046913238,0.02422438,0.077874707,0.014983335,0.056498895,0.00045
31/03/2011,-0.012745104,0.020549681,0.071632679,-0.029808765,0.03681234,-0.032594553,0.020175552,0
29/04/2011,0.022675809,0.034579338,0.064871719,0.002377836,0.116972805,-0.00846616,0.080908923,-0.00108
31/05/2011,-0.012725939,-0.050618198,-0.08498349,-0.028425354,-0.054319026,-0.015022669,-0.013432906,-0.00039
30/06/2011,-0.015851057,-0.050478079,-0.054620072,-0.002668089,-0.033973931,-0.099939439,-0.022122933,-8.00E-05
29/07/2011,-0.027254119,0.029593088,0.017337758,0.037084614,0.094903932,0.033179254,0.08402589,-0.00037
31/08/2011,-0.067656906,0.009938298,-0.042771828,-0.064088596,0.108938512,0.093974894,0.122915989,-0.00324
30/09/2011,-0.060615617,-0.147361808,-0.106573894,-0.201189069,-0.140683444,-0.189700549,-0.114321408,-0.00011
31/10/2011,0.08548595,0.06616401,0.121511935,0.089191744,0.073918884,0.042013665,0.063428964,-0.00108
30/11/2011,-0.012824951,-0.022199268,0.036806119,-0.026811275,0.004630776,-0.071452419,0.013152888,0.00037
30/12/2011,0.005868209,-0.037489156,-0.025090129,-0.04022909,-0.110795992,0.038257786,-0.104839464,-0.0003
31/01/2012,0.043267798,0.024707812,0.014393663,0.101241547,0.119808694,0.00025391,0.108843989,0.00016
29/02/2012,0.047295408,0.02691943,0.080719431,0.011372259,-0.008700292,0.023293569,-0.016721415,0.00088
30/03/2012,0.017628571,-0.041439724,-0.021211769,-0.04562516,-0.030223918,-0.004443035,-0.024586342,0.00101
30/04/2012,-0.015327934,-0.004301557,-0.002670921,0.001866204,-0.010748478,-0.013597304,-0.004605704,-0.00103
